trainsize, units, mse, avg_error
64,2,0.21585306252482253,0.4265148229897022
64,4,0.2055988165719715,0.3776413593441248
64,8,0.21954541783695267,0.34881422482430935
16,2,0.2310751245257011,0.40110397385433316
16,4,0.18129046399564205,0.3051472147926688
16,8,0.3629983916532806,0.4488376355729997
32,2,0.23701984461619297,0.38755916617810726
32,4,0.273355832183782,0.37111825216561556
32,8,0.24469563460158616,0.3343323483131826
64,2,0.26458618725190053,0.4248233144171536
64,4,0.1814487017995199,0.35706097539514303
64,8,0.15253774736313291,0.3067518030293286
16,2,0.3543267710534418,0.4896655036136508
16,4,0.33510359904632403,0.41868839506059885
16,8,0.2816885572407578,0.3694473998621106
32,2,0.22440711714903538,0.41626912308856845
32,4,0.1653024756225948,0.29161546379327774
32,8,0.25089648600987885,0.386621686629951
64,2,0.22072091604296307,0.3888195212930441
64,4,0.23979093775983956,0.4246271192096174
64,8,0.2767007871401572,0.3897687513381243
16,2,0.2451289073780558,0.46581083070486784
16,4,0.3240454981527696,0.43703425070270896
16,8,0.29110040121134845,0.39215169893577695
32,2,0.14784415054590272,0.3036576728336513
32,4,0.32827866088798563,0.4389744349755347
32,8,0.25833731615493116,0.35848201252520084
64,2,0.22470442532829066,0.45226023765280843
64,4,0.17311300023572834,0.35637925332412124
64,8,0.21476737605972906,0.39126404421404004
16,2,0.28407738661911147,0.46236131619662046
16,4,0.2643097725217281,0.4016032856889069
16,8,0.39942864253168836,0.500077557284385
32,2,0.1990447338853188,0.3838362181559205
32,4,0.2038425788787963,0.3543079965747893
32,8,0.23648979875754225,0.3529515815898776
64,2,0.2149514115316743,0.4136470668017864
64,4,0.28568327808685245,0.41120680794119835
64,8,0.24675736405967924,0.3789226678200066
16,2,0.24396967275990813,0.3979425150901079
16,4,0.23026078341291972,0.3778013978153467
16,8,0.2721666270369075,0.42882703244686127
32,2,0.2626381622046431,0.4156416314654052
32,4,0.20669023853331622,0.4066684450954199
32,8,0.22176112864794487,0.32371765980497
64,2,0.19329730982868495,0.341860587708652
64,4,0.26484168941460023,0.4175350903533399
64,8,0.1908474784590153,0.35270256642252207
16,2,0.26587188842667375,0.32605094695463777
16,4,0.2597773712576531,0.35363650461658835
16,8,0.24439006219002332,0.31667919736355543
32,2,0.2593720777936656,0.46587029518559575
32,4,0.2456077838701248,0.39978251326829195
32,8,0.24190458739537474,0.3539633178152144
64,2,0.2134543743769424,0.36808611918240786
64,4,0.21305684948547038,0.3863890077918768
64,8,0.22291001881343858,0.39127089409157634
16,2,0.27015671204713076,0.42927488684654236
16,4,0.1793666155669278,0.34974881494417787
16,8,0.35325958564477744,0.4988488620147109
32,2,0.2639069492559785,0.49839470349252224
32,4,0.21428620156896167,0.3515838528983295
32,8,0.2314167586500393,0.39241232397034764
64,2,0.2607856613119838,0.4022932769730687
64,4,0.17265842426398822,0.33147567696869373
64,8,0.2346049513609363,0.39378568110987544
16,2,0.2738256458853333,0.46315740840509534
16,4,0.3695343330988333,0.521397462580353
16,8,0.26797511556915354,0.34180875308811665
32,2,0.21657088116338488,0.41003474313765764
32,4,0.30397760085430314,0.4043369675055146
32,8,0.23830077367551888,0.38003501342609525
64,2,0.2800491105718762,0.430277728009969
64,4,0.2472386639201941,0.41795233730226755
64,8,0.1658668751651278,0.3150262115523219
16,2,0.4045859924505597,0.45115081686526537
16,4,0.2510170694317213,0.3362482232041657
16,8,0.3704526587864127,0.44414438493549824
32,2,0.23205945955432444,0.3820010651834309
32,4,0.24885164474850552,0.4002990173175931
32,8,0.21064784653674018,0.35255463561043143
64,2,0.2748950296649065,0.4324909704737365
64,4,0.2993207514226499,0.40676099341362715
64,8,0.21468496719888502,0.3506027297116816
16,2,0.23324361476663993,0.4178193942643702
16,4,0.28608907450104737,0.37804176518693566
16,8,0.21094154062801534,0.30043440824374557
32,2,0.235222599207085,0.43855778267607093
32,4,0.26777317489388647,0.4330101916566491
32,8,0.23170701546637124,0.426760271191597
64,2,0.22255473011435167,0.44844220159575343
64,4,0.2234708076439354,0.36780666885897517
64,8,0.26229731345165513,0.41636873595416546
16,2,0.3157635359385488,0.4576126476749778
16,4,0.2927269407835639,0.39771256409585476
16,8,0.1940020605472958,0.3270384115166962
32,2,0.24509482937629012,0.4402679242193699
32,4,0.16530519923312706,0.3173780031502247
32,8,0.23984827354880559,0.465711688157171
64,2,0.1842490618529633,0.37894906708970666
64,4,0.1891588896447174,0.33453378081321716
64,8,0.17735972119422602,0.335361760109663
16,2,0.26459489647225937,0.4222684516571462
16,4,0.33901935457803534,0.40239265793934464
16,8,0.15416390547780132,0.3174934256821871
32,2,0.252688545662632,0.470299880951643
32,4,0.24514236655432287,0.4082847945392132
32,8,0.23537432540874478,0.3947324976325035
64,2,0.24327334108921955,0.4407245381735265
64,4,0.17975728422069628,0.3608194971457124
64,8,0.20398113222887754,0.37958604702726007
16,2,0.2592198821822127,0.40706143993884325
16,4,0.28543585489123013,0.380142520647496
16,8,0.2527896496523101,0.4019641629420221
32,2,0.2536703559066551,0.4725047401152551
32,4,0.18513979378868012,0.3652760246768594
32,8,0.28475245635709545,0.4238052135333419
64,2,0.20239824249821847,0.4076248286291957
64,4,0.19959199914020198,0.3716621589846909
64,8,0.26702278530558277,0.42453197995200753
16,2,0.23599923677392176,0.3402087506838143
16,4,0.21021623818693447,0.36181049700826406
16,8,0.22678817498079734,0.3504010895267129
32,2,0.23708700581489134,0.4790434963069856
32,4,0.2825255210125713,0.41073373379185796
32,8,0.2140062841892013,0.36436932580545545
64,2,0.22567316998136516,0.43174725817516446
64,4,0.19892239988215688,0.37283088313415647
64,8,0.18639229114539235,0.34076443361118436
16,2,0.28871836469847045,0.47777069406583905
16,4,0.318489937420568,0.4009306621737778
16,8,0.36915819332683963,0.5107872509397566
32,2,0.2577341606926241,0.40540930163115263
32,4,0.21929876931423675,0.43901712028309703
32,8,0.1690738670566762,0.2843279470689595
64,2,0.22596770682680045,0.40416577691212296
64,4,0.22564712556003952,0.3703684755600989
64,8,0.2412766837815287,0.3840333390980959
16,2,0.249757755656859,0.3069726494140923
16,4,0.22824675019196378,0.35003126598894596
16,8,0.27514395673372305,0.3753111371770501
32,2,0.2270206149635504,0.37783386558294296
32,4,0.2477286322323996,0.38398156641051173
32,8,0.3169205655177978,0.4227260770276189
64,2,0.23309377378751073,0.42722098203375936
64,4,0.21565613612674556,0.39704693481326103
64,8,0.14081059104955526,0.3202618006616831
16,2,0.26969588689698076,0.4266163925640285
16,4,0.2726800443253432,0.380958816036582
16,8,0.21833814848860666,0.35558491153642535
32,2,0.18798145835898172,0.37463030871003866
32,4,0.16516788081279307,0.31688118539750576
32,8,0.20628882872056692,0.3296135109849274
64,2,0.24880483147159882,0.43175874277949333
64,4,0.2123327257793774,0.32043785927817225
64,8,0.20878152438917572,0.35199043806642294
16,2,0.25648149770619183,0.4620922771282494
16,4,0.23019243939628048,0.33694011764600873
16,8,0.23864827661431576,0.2805567318573594
32,2,0.26705751244900866,0.4804849112406373
32,4,0.2618596225188224,0.42920320201665163
32,8,0.19635834042285777,0.28913950454443693
64,2,0.21463495670989258,0.40626794565469027
64,4,0.17794468984830789,0.279002976603806
64,8,0.22127591633898414,0.4218957666307688
16,2,0.30958320805451356,0.47623626748099923
16,4,0.26006106142718854,0.40570218255743384
16,8,0.31092145268586124,0.5162105690687895
32,2,0.1959524360274883,0.3944684308953583
32,4,0.24350588609218413,0.40454289922490716
32,8,0.24084636662585046,0.3274385556578636
64,2,0.2478955337491588,0.4177995272912085
