trainsize, units, mse, avg_error
64,2,0.20558990099095797,0.41281462321057916
64,4,0.16989516547667427,0.30881567718461156
64,8,0.22870947679484077,0.3977296254597604
16,2,0.23215144634414364,0.4270184556953609
16,4,0.356059383187241,0.4356145369820297
16,8,0.34645816793189094,0.4269120590761304
32,2,0.1896890927950137,0.3914149710908532
32,4,0.18202752782763892,0.3285978646017611
32,8,0.24642521810147663,0.37541810190305114
64,2,0.20620945438282567,0.42301842616871
64,4,0.21315135571404858,0.4275021296925843
64,8,0.22173586198286732,0.35118965385481715
16,2,0.26873512872210736,0.4694103393703699
16,4,0.2876240258494641,0.368579831905663
16,8,0.27698540459456444,0.36746132420375943
32,2,0.24537216767460723,0.47430064668878913
32,4,0.17322404741610403,0.2848103763535619
32,8,0.2923910667126003,0.3384943422861397
64,2,0.21967824045462864,0.4289842378348112
64,4,0.20295982713502528,0.33463174337521195
64,8,0.24016324136527867,0.37476438051089644
16,2,0.26605431248925515,0.48491355124861
16,4,0.27545311731430855,0.4273371137678623
16,8,0.2300236550359338,0.36739201890304685
32,2,0.2517392511573456,0.4485048200003803
32,4,0.19986065830968025,0.2983095245435834
32,8,0.22124754458035903,0.35317316837608814
64,2,0.2598144574406717,0.4285534298978746
64,4,0.18451011550210322,0.3490432472899556
64,8,0.20400428429036588,0.40794794308021665
16,2,0.2288229377344834,0.3957309671677649
16,4,0.21238509431674227,0.35421599354594946
16,8,0.2380399193854935,0.3459701156243682
32,2,0.21519142668428004,0.4447257714346051
32,4,0.17389474212460942,0.3468441851437092
32,8,0.26038423283860257,0.37150566978380084
64,2,0.22396264803355284,0.4428520631045103
64,4,0.16872227744858842,0.32397451950237155
64,8,0.2126154311800053,0.337272793520242
16,2,0.23620671509005703,0.4301959131844342
16,4,0.2972810010670127,0.4162847502157092
16,8,0.22389814915907288,0.2874324843287468
32,2,0.24566802898396428,0.4753043930977583
32,4,0.18048439796467242,0.31495094997808337
32,8,0.23724778746729064,0.37398709543049335
64,2,0.19385595931385133,0.3896951088681817
64,4,0.21229809871684732,0.38218663912266493
64,8,0.21661974775528903,0.3830001172609627
16,2,0.2349778502024601,0.44332679687067866
16,4,0.36377910266123153,0.42660408886149526
16,8,0.28127357893073757,0.34498999640345573
32,2,0.233540731673945,0.385550239123404
32,4,0.20293921589451455,0.33749360870569944
32,8,0.1634092929214255,0.31539441365748644
64,2,0.2510202849923795,0.44391729729250073
64,4,0.15222241019462734,0.3512005219236016
64,8,0.15700994443318772,0.27081742556765676
16,2,0.27460232279223906,0.44430473959073424
16,4,0.19997439778346304,0.298058423679322
16,8,0.26797681682185914,0.4861921570263803
32,2,0.2616462968352884,0.4860077938064933
32,4,0.26751743166497116,0.40070842346176505
32,8,0.2960950251122525,0.40817809058353305
64,2,0.2478998390677308,0.474305575247854
64,4,0.21157758621780037,0.4509223443455994
64,8,0.18788286973112817,0.3843763009645045
16,2,0.2445272616684902,0.35913614742457867
16,4,0.1989192793650159,0.29159418772906065
16,8,0.2648262941752114,0.3632935625500977
32,2,0.1978821168916524,0.38705887366086245
32,4,0.199506795568703,0.38971975166350603
32,8,0.25638310272964104,0.36447474360466003
64,2,0.22706288776103112,0.44652250269427896
64,4,0.3076689705857676,0.4525330322794616
64,8,0.136793676327929,0.29828861309215426
16,2,0.2509749713213767,0.418673946056515
16,4,0.2826274012315928,0.41217335825785995
16,8,0.28364721945957194,0.4167878362350166
32,2,0.22003928833280412,0.4355334434658289
32,4,0.18373217306173736,0.3359314678236842
32,8,0.22001913240131798,0.39886265667155385
64,2,0.24373181531847324,0.4400543561205268
64,4,0.2104915238838822,0.394103582482785
64,8,0.2261363630811165,0.35602636355906725
16,2,0.29753230750379167,0.46746907802298665
16,4,0.22401604888510396,0.3311368450522423
16,8,0.32308654514642765,0.36381581565365195
32,2,0.2206251008939439,0.43597323074936867
32,4,0.2570909329189714,0.3193126805126667
32,8,0.2302769511834168,0.34569462295621634
64,2,0.2889162792162263,0.48709654714912176
64,4,0.2165007910692942,0.35345225129276514
64,8,0.18892263108231616,0.2999564250931144
16,2,0.25832918967648044,0.4430357892997563
16,4,0.3761502324733647,0.47839696565642953
16,8,0.23975260429159517,0.4352304181084037
32,2,0.2597147793128509,0.42993152141571045
32,4,0.25740032520564365,0.36034020967781544
32,8,0.27263390818352834,0.36822233349084854
64,2,0.23693470047755605,0.47846130887046456
64,4,0.1640387616824891,0.3316691075451672
64,8,0.23729785659420197,0.40550082363188267
16,2,0.3066209801547021,0.43518921080976725
16,4,0.2807418657649729,0.4359455988742411
16,8,0.24843395176857214,0.33605983620509505
32,2,0.24237220535497173,0.4040098008699715
32,4,0.22992752105594894,0.4338082754984498
32,8,0.4131290193415458,0.5158241987228394
64,2,0.25168802349822333,0.48098108265548944
64,4,0.24718917346959804,0.40095803793519735
64,8,0.19343273123678487,0.3119858829304576
16,2,0.23831346300560077,0.3720498224720359
16,4,0.2515918060188277,0.3431720403023064
16,8,0.29821752487827724,0.4059724067337811
32,2,0.24653153223081714,0.43178202630952
32,4,0.23727873960059875,0.38985692569985986
32,8,0.21636786337200847,0.3881942122243345
64,2,0.21316227749066696,0.42100810864940286
64,4,0.22409718313366705,0.4185412204824388
64,8,0.17461343307570398,0.35077597154304385
16,2,0.288324798936806,0.4509728350676596
16,4,0.2961329694062006,0.39975607162341475
16,8,0.3383747222706508,0.38312571588903666
32,2,0.22677063289864108,0.41063261637464166
32,4,0.26707330188363,0.3930184650234878
32,8,0.20812783321996464,0.3361758007667959
64,2,0.25100869431749206,0.4400977580808103
64,4,0.183896913923988,0.38536421256139874
